Date,state_name,state_code,district_name,district_code,confirmed_district,recovered_district,deceased_district,total_confirmed_district,total_recovered_district,total_deceased_district,confirmed_state,recovered_state,deceased_state,total_confirmed_state,total_recovered_state,total_deceased_state,confirmed_india,recovered_india,deceased_india,total_confirmed_india,total_recovered_india,total_deceased_india
18-12-2020,Andaman and Nicobar Islands,,Unknown,,4869,4712,61,4869,4712,61,4869,4712,61,4869,4712,61,26991,29879,342,10004825,9549923,145171
18-12-2020,Andhra Pradesh,28.0,Anantapur,502.0,67108,66348,595,67108,66348,595,877806,866359,7070,877806,866359,7070,26991,29879,342,10004825,9549923,145171
18-12-2020,Andhra Pradesh,28.0,Chittoor,503.0,85294,83997,836,85294,83997,836,877806,866359,7070,877806,866359,7070,26991,29879,342,10004825,9549923,145171
18-12-2020,Andhra Pradesh,28.0,East Godavari,505.0,123220,122115,636,123220,122115,636,877806,866359,7070,877806,866359,7070,26991,29879,342,10004825,9549923,145171
18-12-2020,Andhra Pradesh,28.0,Guntur,506.0,74166,72840,659,74166,72840,659,877806,866359,7070,877806,866359,7070,26991,29879,342,10004825,9549923,145171
18-12-2020,Andhra Pradesh,28.0,Krishna,510.0,47012,45555,656,47012,45555,656,877806,866359,7070,877806,866359,7070,26991,29879,342,10004825,9549923,145171
18-12-2020,Andhra Pradesh,28.0,Kurnool,511.0,60457,59829,487,60457,59829,487,877806,866359,7070,877806,866359,7070,26991,29879,342,10004825,9549923,145171
18-12-2020,Andhra Pradesh,28.0,Prakasam,517.0,61867,61080,578,61867,61080,578,877806,866359,7070,877806,866359,7070,26991,29879,342,10004825,9549923,145171
18-12-2020,Andhra Pradesh,28.0,S.P.S. Nellore,515.0,61895,60815,504,61895,60815,504,877806,866359,7070,877806,866359,7070,26991,29879,342,10004825,9549923,145171
18-12-2020,Andhra Pradesh,28.0,Srikakulam,519.0,45809,45273,346,45809,45273,346,877806,866359,7070,877806,866359,7070,26991,29879,342,10004825,9549923,145171
18-12-2020,Andhra Pradesh,28.0,Visakhapatnam,520.0,58778,58017,549,58778,58017,549,877806,866359,7070,877806,866359,7070,26991,29879,342,10004825,9549923,145171
18-12-2020,Andhra Pradesh,28.0,Vizianagaram,521.0,40945,40629,238,40945,40629,238,877806,866359,7070,877806,866359,7070,26991,29879,342,10004825,9549923,145171
18-12-2020,Andhra Pradesh,28.0,West Godavari,523.0,93609,92783,531,93609,92783,531,877806,866359,7070,877806,866359,7070,26991,29879,342,10004825,9549923,145171
18-12-2020,Andhra Pradesh,28.0,Y.S.R. Kadapa,504.0,54751,54183,455,54751,54183,455,877806,866359,7070,877806,866359,7070,26991,29879,342,10004825,9549923,145171
18-12-2020,Arunachal Pradesh,12.0,Anjaw,628.0,204,194,0,204,194,0,16611,16322,55,16611,16322,55,26991,29879,342,10004825,9549923,145171
18-12-2020,Arunachal Pradesh,12.0,Changlang,229.0,1271,1253,4,1271,1253,4,16611,16322,55,16611,16322,55,26991,29879,342,10004825,9549923,145171
18-12-2020,Arunachal Pradesh,12.0,East Kameng,231.0,304,303,0,304,303,0,16611,16322,55,16611,16322,55,26991,29879,342,10004825,9549923,145171
18-12-2020,Arunachal Pradesh,12.0,East Siang,232.0,1115,1084,4,1115,1084,4,16611,16322,55,16611,16322,55,26991,29879,342,10004825,9549923,145171
