Date,state_name,state_code,district_name,district_code,confirmed_district,recovered_district,deceased_district,total_confirmed_district,total_recovered_district,total_deceased_district,confirmed_state,recovered_state,deceased_state,total_confirmed_state,total_recovered_state,total_deceased_state,confirmed_india,recovered_india,deceased_india,total_confirmed_india,total_recovered_india,total_deceased_india
22-12-2020,Andaman and Nicobar Islands,,Unknown,,4893,4749,62,4893,4749,62,4893,4749,62,4893,4749,62,23880,27032,329,10099308,9662697,146476
22-12-2020,Andhra Pradesh,28.0,Anantapur,502.0,67177,66419,595,67177,66419,595,879339,868279,7082,879339,868279,7082,23880,27032,329,10099308,9662697,146476
22-12-2020,Andhra Pradesh,28.0,Chittoor,503.0,85593,84322,838,85593,84322,838,879339,868279,7082,879339,868279,7082,23880,27032,329,10099308,9662697,146476
22-12-2020,Andhra Pradesh,28.0,East Godavari,505.0,123361,122303,636,123361,122303,636,879339,868279,7082,879339,868279,7082,23880,27032,329,10099308,9662697,146476
22-12-2020,Andhra Pradesh,28.0,Guntur,506.0,74335,73118,662,74335,73118,662,879339,868279,7082,879339,868279,7082,23880,27032,329,10099308,9662697,146476
22-12-2020,Andhra Pradesh,28.0,Krishna,510.0,47282,45935,660,47282,45935,660,879339,868279,7082,879339,868279,7082,23880,27032,329,10099308,9662697,146476
22-12-2020,Andhra Pradesh,28.0,Kurnool,511.0,60503,59917,487,60503,59917,487,879339,868279,7082,879339,868279,7082,23880,27032,329,10099308,9662697,146476
22-12-2020,Andhra Pradesh,28.0,Prakasam,517.0,61948,61194,578,61948,61194,578,879339,868279,7082,879339,868279,7082,23880,27032,329,10099308,9662697,146476
22-12-2020,Andhra Pradesh,28.0,S.P.S. Nellore,515.0,61960,60900,505,61960,60900,505,879339,868279,7082,879339,868279,7082,23880,27032,329,10099308,9662697,146476
22-12-2020,Andhra Pradesh,28.0,Srikakulam,519.0,45857,45340,346,45857,45340,346,879339,868279,7082,879339,868279,7082,23880,27032,329,10099308,9662697,146476
22-12-2020,Andhra Pradesh,28.0,Visakhapatnam,520.0,58920,58114,549,58920,58114,549,879339,868279,7082,879339,868279,7082,23880,27032,329,10099308,9662697,146476
22-12-2020,Andhra Pradesh,28.0,Vizianagaram,521.0,40990,40676,238,40990,40676,238,879339,868279,7082,879339,868279,7082,23880,27032,329,10099308,9662697,146476
22-12-2020,Andhra Pradesh,28.0,West Godavari,523.0,93694,92926,532,93694,92926,532,879339,868279,7082,879339,868279,7082,23880,27032,329,10099308,9662697,146476
22-12-2020,Andhra Pradesh,28.0,Y.S.R. Kadapa,504.0,54824,54220,456,54824,54220,456,879339,868279,7082,879339,868279,7082,23880,27032,329,10099308,9662697,146476
22-12-2020,Arunachal Pradesh,12.0,Anjaw,628.0,204,196,0,204,196,0,16657,16379,56,16657,16379,56,23880,27032,329,10099308,9662697,146476
22-12-2020,Arunachal Pradesh,12.0,Changlang,229.0,1272,1261,4,1272,1261,4,16657,16379,56,16657,16379,56,23880,27032,329,10099308,9662697,146476
22-12-2020,Arunachal Pradesh,12.0,East Kameng,231.0,304,304,0,304,304,0,16657,16379,56,16657,16379,56,23880,27032,329,10099308,9662697,146476
22-12-2020,Arunachal Pradesh,12.0,East Siang,232.0,1115,1094,4,1115,1094,4,16657,16379,56,16657,16379,56,23880,27032,329,10099308,9662697,146476
22-12-2020,Arunachal Pradesh,12.0,Kamle,718.0,29,29,0,29,29,0,16657,16379,56,16657,16379,56,23880,27032,329,10099308,9662697,146476
