Date,state_name,state_code,district_name,district_code,confirmed_district,recovered_district,deceased_district,total_confirmed_district,total_recovered_district,total_deceased_district,confirmed_state,recovered_state,deceased_state,total_confirmed_state,total_recovered_state,total_deceased_state,confirmed_india,recovered_india,deceased_india,total_confirmed_india,total_recovered_india,total_deceased_india
03-01-2021,Andaman and Nicobar Islands,,Unknown,,4948,4846,62,4948,4846,62,4948,4846,62,4948,4846,62,16678,19658,215,10341291,9946131,149686
03-01-2021,Andhra Pradesh,28.0,Anantapur,502.0,67391,66651,597,67391,66651,597,883082,872897,7115,883082,872897,7115,16678,19658,215,10341291,9946131,149686
03-01-2021,Andhra Pradesh,28.0,Chittoor,503.0,86304,85141,843,86304,85141,843,883082,872897,7115,883082,872897,7115,16678,19658,215,10341291,9946131,149686
03-01-2021,Andhra Pradesh,28.0,East Godavari,505.0,123766,122795,636,123766,122795,636,883082,872897,7115,883082,872897,7115,16678,19658,215,10341291,9946131,149686
03-01-2021,Andhra Pradesh,28.0,Guntur,506.0,74857,73716,666,74857,73716,666,883082,872897,7115,883082,872897,7115,16678,19658,215,10341291,9946131,149686
03-01-2021,Andhra Pradesh,28.0,Krishna,510.0,47911,46735,666,47911,46735,666,883082,872897,7115,883082,872897,7115,16678,19658,215,10341291,9946131,149686
03-01-2021,Andhra Pradesh,28.0,Kurnool,511.0,60590,60042,487,60590,60042,487,883082,872897,7115,883082,872897,7115,16678,19658,215,10341291,9946131,149686
03-01-2021,Andhra Pradesh,28.0,Prakasam,517.0,62046,61381,579,62046,61381,579,883082,872897,7115,883082,872897,7115,16678,19658,215,10341291,9946131,149686
03-01-2021,Andhra Pradesh,28.0,S.P.S. Nellore,515.0,62116,61173,505,62116,61173,505,883082,872897,7115,883082,872897,7115,16678,19658,215,10341291,9946131,149686
03-01-2021,Andhra Pradesh,28.0,Srikakulam,519.0,45968,45553,346,45968,45553,346,883082,872897,7115,883082,872897,7115,16678,19658,215,10341291,9946131,149686
03-01-2021,Andhra Pradesh,28.0,Visakhapatnam,520.0,59248,58470,552,59248,58470,552,883082,872897,7115,883082,872897,7115,16678,19658,215,10341291,9946131,149686
03-01-2021,Andhra Pradesh,28.0,Vizianagaram,521.0,41038,40764,238,41038,40764,238,883082,872897,7115,883082,872897,7115,16678,19658,215,10341291,9946131,149686
03-01-2021,Andhra Pradesh,28.0,West Godavari,523.0,93924,93212,539,93924,93212,539,883082,872897,7115,883082,872897,7115,16678,19658,215,10341291,9946131,149686
03-01-2021,Andhra Pradesh,28.0,Y.S.R. Kadapa,504.0,55028,54369,461,55028,54369,461,883082,872897,7115,883082,872897,7115,16678,19658,215,10341291,9946131,149686
03-01-2021,Arunachal Pradesh,12.0,Anjaw,628.0,204,204,0,204,204,0,16732,16583,56,16732,16583,56,16678,19658,215,10341291,9946131,149686
03-01-2021,Arunachal Pradesh,12.0,Changlang,229.0,1273,1268,4,1273,1268,4,16732,16583,56,16732,16583,56,16678,19658,215,10341291,9946131,149686
03-01-2021,Arunachal Pradesh,12.0,East Kameng,231.0,304,304,0,304,304,0,16732,16583,56,16732,16583,56,16678,19658,215,10341291,9946131,149686
03-01-2021,Arunachal Pradesh,12.0,East Siang,232.0,1128,1113,4,1128,1113,4,16732,16583,56,16732,16583,56,16678,19658,215,10341291,9946131,149686
03-01-2021,Arunachal Pradesh,12.0,Kamle,718.0,29,29,0,29,29,0,16732,16583,56,16732,16583,56,16678,19658,215,10341291,9946131,149686
03-01-2021,Arunachal Pradesh,12.0,Kra Daadi,677.0,37,37,0,37,37,0,16732,16583,56,16732,16583,56,16678,19658,215,10341291,9946131,149686
03-01-2021,Arunachal Pradesh,12.0,Kurung Kumey,233.0,117,117,0,117,117,0,16732,16583,56,16732,16583,56,16678,19658,215,10341291,9946131,149686
03-01-2021,Arunachal Pradesh,12.0,Lepa Rada,724.0,280,277,0,280,277,0,16732,16583,56,16732,16583,56,16678,19658,215,10341291,9946131,149686
03-01-2021,Arunachal Pradesh,12.0,Lohit,234.0,570,567,0,570,567,0,16732,16583,56,16732,16583,56,16678,19658,215,10341291,9946131,149686
03-01-2021,Arunachal Pradesh,12.0,Longding,666.0,250,249,0,250,249,0,16732,16583,56,16732,16583,56,16678,19658,215,10341291,9946131,149686
03-01-2021,Arunachal Pradesh,12.0,Lower Dibang Valley,235.0,474,472,0,474,472,0,16732,16583,56,16732,16583,56,16678,19658,215,10341291,9946131,149686
03-01-2021,Arunachal Pradesh,12.0,Lower Siang,719.0,286,286,0,286,286,0,16732,16583,56,16732,16583,56,16678,19658,215,10341291,9946131,149686
03-01-2021,Arunachal Pradesh,12.0,Lower Subansiri,236.0,381,380,1,381,380,1,16732,16583,56,16732,16583,56,16678,19658,215,10341291,9946131,149686
03-01-2021,Arunachal Pradesh,12.0,Namsai,678.0,430,422,4,430,422,4,16732,16583,56,16732,16583,56,16678,19658,215,10341291,9946131,149686
03-01-2021,Arunachal Pradesh,12.0,Pakke Kessang,723.0,129,129,0,129,129,0,16732,16583,56,16732,16583,56,16678,19658,215,10341291,9946131,149686
03-01-2021,Arunachal Pradesh,12.0,Papum Pare,237.0,6757,6695,29,6757,6695,29,16732,16583,56,16732,16583,56,16678,19658,215,10341291,9946131,149686
03-01-2021,Arunachal Pradesh,12.0,Shi Yomi,725.0,104,104,0,104,104,0,16732,16583,56,16732,16583,56,16678,19658,215,10341291,9946131,149686
03-01-2021,Arunachal Pradesh,12.0,Siang,679.0,133,131,1,133,131,1,16732,16583,56,16732,16583,56,16678,19658,215,10341291,9946131,149686
